feature,importance
int_OQual_x_TotalSF,10.064757172170347
LogTotalSF_x_NbhdPrem_v2,9.608940968139704
int_OQual_x_GrLiv,5.265064635600458
Qual_x_NbhdPrem_v2,4.703632644163139
fe_TotalSF,3.3775347466760466
fe_OverallGrade,3.281848579350553
TotalSF_log1p_v2,2.5629586514301206
TotalSF,2.4657691642268302
OverallQual,2.127045585797472
OverallCond,2.0584474656742224
GarageFinish,1.4432630609836916
LotArea_log1p_v2,1.3982918430002893
NbhdCluster4_v2,1.37722372578884
SaleCondition,1.34092081523189
BsmtFinSF1,1.3176453962499335
int_GarCars_x_GarArea,1.265342281669342
Nbhd_TgtMean_Log_v2,1.2089142980911056
fe_TotalBaths,1.2083895423331275
YearRemodAdd,1.1886854770147015
MSZoning,1.1708741595607572
GrLivArea,1.1675208228389917
GarageType,1.111676049002375
1stFlrSF,1.09158757295543
fe_YearsSinceRemod,1.061271523958327
LotArea,1.0243651007177998
TotalSF_relative_v2,1.0234325505447708
int_TotalBaths_x_Beds,0.9885021564796752
KitchenQual,0.9847762920810353
FireplaceQu,0.9453913193006107
GarageArea,0.887355747891083
BsmtFinSF1_log1p_v2,0.8873108317358994
fe_NbhdMed_fe_TotalSF,0.8782102385486663
fe_KitchenGrade,0.8632685549905995
BsmtUnfSF,0.8129012139620138
YearBuilt,0.805966106476134
CentralAir,0.7972720270765732
GarageCars,0.7731424623979681
GrLivArea_log1p_v2,0.7613653964697686
HeatingQC,0.7244582108634733
BsmtFinType1,0.6605526025019272
fe_AgeAtSale,0.6548273337096149
Fireplaces,0.6504336054761769
fe_BasementGrade,0.6415525271223617
GarageYrBlt,0.6247656965459665
fe_TotalPorchSF,0.6038321800128237
YearBuiltDecade_v2,0.6018309655681178
MSSubClass,0.5933667459339453
fe_GarageCarsPer100SF,0.5573411537717383
LotFrontage,0.5434232987926408
is_luxury_v2,0.5232706230684859
BsmtExposure,0.5194190572240058
fe_NbhdMed_GrLivArea,0.5110287189880096
fe_NbhdMed_LotArea,0.5076207141245926
TotalBsmtSF,0.5064380461761451
BldgType,0.4786736983660382
PavedDrive,0.4757024388364274
MoSold,0.46757458767191346
BsmtQual,0.4559556022216171
Exterior1st,0.4452897734184056
LotShape,0.4289703964458715
Condition1,0.40887891650718433
SaleType,0.40111067792608346
HouseStyle,0.3965301781924031
OverallQual_relative_v2,0.3907577779954215
fe_AboveVsBasement,0.38351760356365133
Foundation,0.36275444084945185
WoodDeckSF,0.3600434943277791
fe_ExteriorGrade,0.3594164579268643
fe_GarageGrade,0.3566851457737537
Functional,0.35635518292120294
TotRmsAbvGrd,0.3445483191338057
bin_HasFireplace,0.34065386662206554
Electrical,0.32198429644576143
HalfBath,0.31679770697038917
fe_GarageAgeAtSale,0.3107977987964631
Exterior2nd,0.30968650926425734
Neighborhood,0.30379134794655915
fe_NbhdMed_YearBuilt,0.2921049744141438
FullBath,0.2891520468956844
BsmtFullBath,0.2819403929498633
Fence,0.27347628692077963
GarageCond,0.27119428391871897
comb_Season,0.2656951768466612
OpenPorchSF,0.2638470666153414
is_luxury_nbhd_v2,0.26043713533835533
MasVnrType,0.2529839363949675
BedroomAbvGr,0.251568882959438
GarageQual,0.24216414822540516
YrSold,0.23144999920293374
MoSold_cos,0.2308907728339585
LotConfig,0.22797474872496076
fe_FirstVsSecond,0.2116077512240003
RoofStyle,0.19941026332547163
MoSold_sin,0.1951653120204592
2ndFlrSF,0.1920347191799946
MasVnrArea,0.19098312905689238
LandContour,0.18802832183260385
ExterQual,0.15321224321952456
ScreenPorch,0.13799138884618117
LandSlope,0.13583595432276885
RoofMatl,0.1312464081849348
Alley,0.12365763524291651
EnclosedPorch,0.11727304050625512
ExterCond,0.09756717407003417
Heating,0.08574442463280113
KitchenAbvGr,0.07696340048280505
BsmtFinSF2,0.07475800468721697
Nbhd_Qual_cat_v2,0.06996037798278362
bin_Has2ndFlr,0.06338835503744651
BsmtCond,0.061445354495041904
bin_NearArtery,0.05597700714951422
MiscFeature,0.045453909720150905
comb_ExteriorSet,0.04179111199331988
BsmtFinType2,0.03932574568758973
bin_HasGarage,0.03392903173405591
bin_HasDeck,0.025302177501935218
Nbhd_Decade_cat_v2,0.019429297288636075
PoolArea,0.01719109161562865
bin_HasPool,0.015339003121506272
BsmtHalfBath,0.014312239639703775
PoolQC,0.010737263234520598
bin_HasPorch,0.009764430702456214
bin_NearRR,0.006752453850393256
LowQualFinSF,0.005192422331832811
Street,0.004171589617430858
3SsnPorch,0.004065930790534752
Condition2,0.0027626814218058497
MiscVal,0.0024750427382113646
bin_NearPositive,0.0015493466340759415
bin_HasBasement,0.001545746625707419
Utilities,0.00027548742596596556
