feature,importance
int_OQual_x_TotalSF,10.601104236862636
LogTotalSF_x_NbhdPrem_v2,7.765885746481965
int_OQual_x_GrLiv,6.334355635832496
Qual_x_NbhdPrem_v2,4.759221550848855
TotalSF_log1p_v2,3.650749451376137
fe_TotalSF,3.4983062302350794
TotalSF,3.1474404959732256
OverallQual,2.9904391694011228
fe_OverallGrade,2.6376003194398008
Nbhd_TgtMean_Log_v2,2.021732828394221
OverallCond,1.8458696279880553
NbhdCluster4_v2,1.6316279875661865
GarageType,1.5008474405230128
fe_NbhdMed_fe_TotalSF,1.4608623212527176
fe_KitchenGrade,1.3924029977597474
GrLivArea,1.3488940139649164
fe_TotalBaths,1.3274605595617284
SaleCondition,1.1984914070248236
int_GarCars_x_GarArea,1.179145875288941
1stFlrSF,1.1526856813143644
fe_YearsSinceRemod,1.1427735054700598
LotArea,1.1251122663975444
Fireplaces,1.09356334246359
GarageFinish,1.0841395385276702
GarageCars,1.04208304462337
ExterQual,1.0138524123177093
MSZoning,1.0133974695875956
TotalSF_relative_v2,1.0121449560751443
KitchenQual,1.0042942039052694
fe_AgeAtSale,0.9982924414477846
CentralAir,0.9019532039585801
LotArea_log1p_v2,0.8911293095092556
is_luxury_v2,0.8732576056275736
GrLivArea_log1p_v2,0.8461712834819343
YearRemodAdd,0.8048936953438893
BsmtUnfSF,0.7828566309880308
fe_BasementGrade,0.7530903300742187
int_TotalBaths_x_Beds,0.7006654573009428
GarageArea,0.6826922539710539
FireplaceQu,0.6526412002032012
BsmtFinSF1,0.6246901296335857
fe_NbhdMed_GrLivArea,0.6217559005911203
fe_GarageGrade,0.6012992888377701
BsmtFinSF1_log1p_v2,0.582760923719116
MSSubClass,0.533315526831134
YearBuilt,0.5250026807511905
TotalBsmtSF,0.46090160037274286
fe_TotalPorchSF,0.45332167043997346
BsmtFinType1,0.45235430318651615
Functional,0.451046464531834
BsmtExposure,0.4418386255842866
fe_NbhdMed_LotArea,0.4335409615111733
YearBuiltDecade_v2,0.42824924304348205
Foundation,0.4258962531493311
fe_GarageAgeAtSale,0.42408037669798554
Condition1,0.41414356408183506
PavedDrive,0.4033704526446196
Neighborhood,0.38432320952395865
fe_NbhdMed_YearBuilt,0.38365209318565313
HeatingQC,0.3794033840014678
fe_ExteriorGrade,0.3774616793659492
FullBath,0.36381300470090594
GarageYrBlt,0.3596332800383927
fe_GarageCarsPer100SF,0.3593641887553979
is_luxury_nbhd_v2,0.33005629835020783
SaleType,0.32846196548316503
Electrical,0.30950454045524967
GarageCond,0.3069316844395485
GarageQual,0.30344819011411733
BldgType,0.3032206546372732
Exterior1st,0.3014942750812311
HouseStyle,0.2986765820000756
fe_AboveVsBasement,0.29283445048545736
LotFrontage,0.2909296714319825
fe_FirstVsSecond,0.28198099549619476
BsmtQual,0.2815949058720676
bin_HasFireplace,0.279726913718796
WoodDeckSF,0.2674326773013431
MoSold,0.26481476693462735
2ndFlrSF,0.26393043150833756
OverallQual_relative_v2,0.2441813131453528
OpenPorchSF,0.21703335028045548
MasVnrArea,0.21206298815761343
LotShape,0.2092972592553121
BsmtFullBath,0.20747478196446262
TotRmsAbvGrd,0.19974093618202127
MasVnrType,0.19270588996544288
HalfBath,0.19157255196921383
LotConfig,0.1823239290222917
BedroomAbvGr,0.17840241973229426
Fence,0.17237730529063283
RoofStyle,0.15606050592829068
LandContour,0.1515076358902434
ScreenPorch,0.14850307322922504
EnclosedPorch,0.1466820379031546
Exterior2nd,0.13578374962402692
Alley,0.13331852946219314
comb_Season,0.1241056720974207
YrSold,0.11883812947767007
MoSold_cos,0.11412241701255907
Nbhd_Qual_cat_v2,0.11310345708935994
MoSold_sin,0.10057699751869542
LandSlope,0.08590812514555721
BsmtCond,0.08406641133023648
ExterCond,0.06733541430079067
RoofMatl,0.06285713170627515
comb_ExteriorSet,0.05750309694805265
MiscFeature,0.05570597357918337
BsmtFinSF2,0.05467294106746443
bin_NearArtery,0.05448750292043862
bin_HasGarage,0.04827435027271433
Heating,0.04723464587666135
KitchenAbvGr,0.045517754768795576
PoolArea,0.03714982977456074
Nbhd_Decade_cat_v2,0.028138994572010533
BsmtFinType2,0.02495556000689831
bin_HasPorch,0.01613810567210693
LowQualFinSF,0.015971020953383347
PoolQC,0.015898047068499777
3SsnPorch,0.01504603002919939
bin_NearRR,0.01357009404509664
bin_Has2ndFlr,0.012376569813915439
Condition2,0.010860992489894482
bin_NearPositive,0.010802773174482085
bin_HasPool,0.010212143937047603
MiscVal,0.008052832965612718
bin_HasDeck,0.005945296005266264
BsmtHalfBath,0.005008400457646752
Street,0.0015756022656365199
Utilities,0.0005738918011487719
bin_HasBasement,0.0
