feature,mean_importance_pred,std_importance_pred,mean_importance_loss,std_importance_loss,rank,category
LogTotalSF_x_NbhdPrem_v2,10.3648,1.9862,0.0123,0.0031,1,Size/Area
int_OQual_x_TotalSF,7.7582,1.8151,0.0088,0.0028,2,Size/Area
Qual_x_NbhdPrem_v2,5.2625,1.0396,0.004,0.0016,3,Quality/Condition
int_OQual_x_GrLiv,4.4875,1.223,0.0051,0.0011,4,Quality/Condition
TotalSF_v4,3.8384,1.3087,0.003,0.0014,5,Size/Area
TotalSF,3.1499,0.5274,0.0023,0.0008,6,Size/Area
TotalSF_log1p_v2,2.9248,1.1702,0.0018,0.0006,7,Size/Area
fe_TotalSF,2.6644,1.3788,0.0018,0.001,8,Size/Area
OverallQual,2.4239,1.3371,0.0015,0.001,9,Quality/Condition
fe_OverallGrade,2.145,1.1098,0.002,0.0007,10,Other
OverallCond,2.0462,0.2761,0.0087,0.0022,11,Quality/Condition
Nbhd_TgtMean_Log_v2,1.5964,0.9954,0.0015,0.0009,12,Location
GrLivArea,1.5953,0.3122,0.0014,0.0006,13,Size/Area
FireplaceQu,1.4486,0.6842,0.0014,0.0008,14,Other
fe_NbhdMed_fe_TotalSF,1.2673,0.962,0.0007,0.0005,15,Size/Area
KitchenQual,1.2363,0.2099,0.0008,0.0003,16,Quality/Condition
MSZoning,1.1566,0.1535,0.0026,0.0003,17,Other
int_GarCars_x_GarArea,1.1013,0.5224,0.0014,0.0003,18,Size/Area
GarageFinish,1.0821,0.2416,0.0017,0.0009,19,Time/Age
QualPerSF,1.0628,0.4572,0.0006,0.0002,20,Size/Area
SaleCondition,1.0484,0.1882,0.0032,0.001,21,Quality/Condition
fe_TotalBaths,1.019,0.1475,0.0008,0.0003,22,Rooms/Layout
GrLivArea_log1p_v2,0.9894,0.4584,0.0009,0.0004,23,Size/Area
GarageArea,0.9806,0.3758,0.0018,0.0005,24,Time/Age
GarageCars,0.9593,0.4391,0.0005,0.0003,25,Time/Age
VintageBin,0.958,0.5522,0.0009,0.0004,26,Time/Age
LotArea,0.9414,0.1829,0.0022,0.0004,27,Size/Area
GarageType,0.8932,0.6834,0.0011,0.0009,28,Time/Age
LotArea_log1p_v2,0.8323,0.2911,0.0017,0.0003,29,Size/Area
fe_KitchenGrade,0.8246,0.3029,0.0006,0.0001,30,Rooms/Layout
CentralAir,0.7988,0.3844,0.0014,0.0009,31,Other
BsmtFinSF1_log1p_v2,0.7693,0.5279,0.0009,0.0005,32,Size/Area
TotalBsmtSF,0.7578,0.489,0.0005,0.0002,33,Size/Area
YearBuilt,0.745,0.8114,0.0011,0.0005,34,Time/Age
BsmtFinSF1,0.7388,0.3247,0.0009,0.0004,35,Size/Area
