Neighborhood,n,rmse_log,mean_resid_log,rmse_orig,mean_resid_orig
IDOTRR,37,0.25274317109522415,-0.06423192364158797,17052.43933170116,-2443.4421821049364
Edwards,98,0.14116634638448636,-0.006128656150012756,17693.583842508353,824.6736838810695
OldTown,113,0.13994248188054997,-0.015602768809286722,18829.33605368249,96.36594243598749
ClearCr,28,0.13785966924753176,-0.013911374006566073,28935.321951525144,-1416.120796370685
StoneBr,25,0.1313253861470412,0.03001404738615314,46256.57151712797,14494.756941967178
BrkSide,58,0.12852014010828408,0.024016669726801578,15456.243266895932,4721.297227582719
Sawyer,74,0.11967220743701693,-0.005022996911114972,13845.332525765287,93.26796622920645
SWISU,25,0.1175346082476687,0.013370754176089222,16213.422051313113,2851.5359765930066
NWAmes,73,0.11505068338709792,-0.018846077955263763,18978.347333347385,-3447.2024970277243
NoRidge,41,0.1130245874015491,0.010217073639889185,56222.165296923864,10516.655785807232
Crawfor,51,0.11072308436990289,0.02301304622103633,25598.213365990847,7206.533760844496
Somerst,86,0.10758977210019732,0.0038212374880006623,25635.086027701458,2143.6542173278526
NridgHt,77,0.10200849191525363,-0.005844621280293605,38087.67217548431,-95.93876018230962
Mitchel,49,0.09527779403333089,-0.002526192475270643,13451.390606733828,429.900777813119
NAmes,225,0.09397396694437171,0.0029410567632313367,13532.018876878836,491.9163859996442
MeadowV,17,0.09258772291847808,-0.04910124585664095,9940.413994997753,-5605.199062396468
Timber,38,0.08481556613289024,-0.017382857294698607,21794.50228932263,-2614.8376575948046
Blmngtn,17,0.08261431738110174,-0.006519236693142152,16447.593205301342,-579.8924661703195
SawyerW,59,0.07559937054998585,-0.0015274716114936238,14550.39306036568,845.669434473524
Gilbert,79,0.06990784939624277,0.005673314280755454,13220.545606972173,1315.8008385573528
BrDale,16,0.06929909002930436,-0.0032053438558656833,6894.843647924578,-58.19722359205298
CollgCr,150,0.06285116366635547,-0.007776497907305225,13917.899458682254,-1218.358812011346
Veenker,11,0.05664859927676588,0.01562815885961364,13880.025592820482,5253.964876261701
Other,11,0.05285400935790216,0.003151309506034039,7199.470690864382,664.8350181381895
