segment,Seg_IDOTRR,n,rmse_log,mean_resid_log,rmse_orig,mean_resid_orig,Seg_OldTown,Seg_StoneBr,Seg_Partial,Seg_Family,Seg_Alloca,Seg_LuxuryProxy,Seg_BudgetProxy
Seg_IDOTRR,0.0,1421,0.10554645319113609,-0.001599732399830385,21762.90180499737,1022.5110549641189,,,,,,,
Seg_IDOTRR,1.0,37,0.25274317109522415,-0.06423192364158797,17052.43933170116,-2443.4421821049364,,,,,,,
Seg_OldTown,,1345,0.10900210772624881,-0.0021462364605563805,21876.89730333542,1004.9750906103076,0.0,,,,,,
Seg_OldTown,,113,0.13994248188054997,-0.015602768809286722,18829.33605368249,96.36594243598749,1.0,,,,,,
Seg_StoneBr,,1433,0.11133392993367325,-0.0037684243541881088,20972.298629824814,697.984595126972,,0.0,,,,,
Seg_StoneBr,,25,0.1313253861470412,0.03001404738615314,46256.57151712797,14494.756941967178,,1.0,,,,,
Seg_Partial,,1335,0.10938328110342159,-0.0035259629547070045,19039.588963326456,722.8238464330398,,,0.0,,,,
Seg_Partial,,123,0.13436590305066948,0.0004663384523261722,40307.071818603756,3232.6098648619695,,,1.0,,,,
Seg_Family,,1438,0.10969515463072371,-0.0030759759065253534,21541.32274548702,969.8375649732466,,,,0.0,,,
Seg_Family,,20,0.21095624660220208,-0.011327378065713666,28727.616550867955,-1602.2785032699235,,,,1.0,,,
Seg_Alloca,,1446,0.11057246354657226,-0.0030381805717676707,21539.75466137435,899.7805331189096,,,,,0.0,,
Seg_Alloca,,12,0.20703412245142885,-0.02138265067680667,32775.72086896758,5124.849789682253,,,,,1.0,,
Seg_LuxuryProxy,,1145,0.1106092192024242,-0.004108262792977001,14502.879093280528,301.4610844061737,,,,,,0.0,
Seg_LuxuryProxy,,313,0.11563349934344347,0.0001730350896515472,37618.68398366509,3250.5044943164903,,,,,,1.0,
Seg_BudgetProxy,,934,0.10325674507230342,0.0010580244291192257,25484.443838172345,1599.4661829472432,,,,,,,0.0
Seg_BudgetProxy,,524,0.12536418068511465,-0.010759533839112765,12136.776281118238,-250.6117681423563,,,,,,,1.0
