Id,Neighborhood,OverallQual,GrLivArea,TotalBsmtSF,GarageCars,YearBuilt,SaleCondition,SaleType,MSSubClass,SalePrice,pred_orig,resid_orig,resid_log,fold
1183,NoRidge,10,4476,2396.0,3,1996,Abnorml,WD,60,745000.0,506774.7877619841,238225.2122380159,0.38531688809437625,0
692,NoRidge,10,4316,2444.0,3,1994,Normal,WD,60,755000.0,540587.3515152466,214412.64848475344,0.33406098746784707,1
899,NridgHt,9,2364,2330.0,3,2009,Partial,New,20,611657.0,458748.1654062623,152908.83459373767,0.28766972269362867,3
689,StoneBr,8,1419,1419.0,2,2007,Partial,New,20,392000.0,248280.88376200155,143719.11623799845,0.45669966204267354,1
1325,Somerst,8,1795,1795.0,3,2006,Partial,New,20,147000.0,288502.83390623174,-141502.83390623174,-0.6742689854862256,2
804,NridgHt,9,2822,1734.0,3,2008,Partial,New,60,582933.0,450097.22681337316,132835.77318662684,0.25860813164301,4
186,OldTown,10,3608,1107.0,3,1892,Normal,WD,75,475000.0,353703.6471849755,121296.3528150245,0.2948546743947311,4
775,NridgHt,8,1973,1935.0,3,2006,Partial,New,20,395000.0,287518.89228262106,107481.10771737894,0.317596248151391,0
1047,StoneBr,9,2868,1992.0,3,2005,Partial,New,60,556581.0,451976.25665556197,104604.74334443803,0.20818264793399877,2
582,NridgHt,8,2042,2042.0,3,2008,Partial,New,20,253293.0,357153.95930672355,-103860.95930672355,-0.3436188778858842,3
589,ClearCr,5,1473,1437.0,1,1968,Partial,WD,20,143000.0,244387.8903289584,-101387.8903289584,-0.5359091461026377,4
441,NridgHt,10,2402,3094.0,3,2008,Normal,WD,20,555000.0,454787.0986270172,100212.90137298277,0.19913832237890716,3
1182,Crawfor,8,1652,1600.0,2,2008,Partial,New,120,392500.0,298436.3165099389,94063.68349006108,0.2739791691508646,2
633,NWAmes,7,1411,1386.0,2,1977,Family,WD,20,82500.0,176088.2571505362,-93588.2571505362,-0.7581805949061309,3
314,Timber,7,2036,2136.0,2,1965,Normal,WD,20,375000.0,293722.5333145596,81277.46668544039,0.2442897305890348,0
219,Crawfor,7,1954,798.0,2,1939,Normal,WD,50,311500.0,234485.68056792687,77014.31943207313,0.28400376150592876,0
770,StoneBr,8,3279,1650.0,3,2003,Normal,WD,60,538000.0,463108.4303911677,74891.5696088323,0.14989704199945386,4
1424,Edwards,6,2201,697.0,2,1966,Alloca,WD,80,274970.0,200364.14254548535,74605.85745451465,0.31652422287268145,4
665,Somerst,8,2097,2077.0,3,2005,Partial,New,20,423000.0,348605.0889147234,74394.91108527657,0.19343194341002423,0
179,StoneBr,9,2234,2216.0,3,2008,Partial,New,20,501837.0,430615.8060880533,71221.19391194673,0.15305874481195758,0
886,Somerst,9,1709,1698.0,2,1999,Abnorml,Other,120,328900.0,259621.38125380265,69278.61874619735,0.23652859813161697,1
67,NAmes,7,2207,1947.0,2,1970,Normal,WD,20,180000.0,247996.16302639415,-67996.16302639415,-0.3204549002595165,1
826,NridgHt,10,2084,2078.0,3,2007,Partial,New,20,385000.0,452418.549239026,-67418.54923902598,-0.16136402390918825,4
474,NridgHt,8,1976,1976.0,3,2006,Partial,New,20,440000.0,374264.5136224017,65735.48637759831,0.16181152463152593,1
14,CollgCr,7,1494,1494.0,3,2006,Partial,New,20,279500.0,214474.3806488227,65025.6193511773,0.26481091415539204,3
