feature,importance
Qual_x_NbhdPrem_v2,9.31419997030723
LogTotalSF_x_NbhdPrem_v2,8.302109872332304
int_OQual_x_TotalSF,7.345963529073759
int_OQual_x_GrLiv,4.828431772380099
fe_TotalSF,4.540103094697752
TotalSF_log1p_v2,3.8255750725339173
TotalSF,3.6019605784545914
OverallQual,3.392933794411541
fe_OverallGrade,2.8109127873951567
fe_TotalBaths,2.414408694121111
NbhdCluster4_v2,2.1968392222619864
OverallCond,1.6998269644169017
GarageCars,1.6736877316720464
Nbhd_TgtMean_Log_v2,1.6359806741597018
GrLivArea_log1p_v2,1.4644280320590988
int_GarCars_x_GarArea,1.3990724363167377
SaleCondition,1.3826614027137418
MSZoning,1.3024751216157695
GarageType,1.1102839962128683
GrLivArea,1.0943990665136365
LotArea,1.0932104363394046
fe_NbhdMed_GrLivArea,1.0396189215655003
KitchenQual,1.0335474717525313
CentralAir,1.0281291474270715
BsmtUnfSF,1.015897200926894
fe_YearsSinceRemod,0.9610145508763174
int_TotalBaths_x_Beds,0.9025778074685755
1stFlrSF,0.8466032987191511
ExterQual,0.8224845479659291
fe_KitchenGrade,0.8148806376640085
fe_AgeAtSale,0.8099313905764508
Fireplaces,0.7946618295840758
BsmtFinSF1_log1p_v2,0.7757340566338891
fe_ExteriorGrade,0.7430132172409625
YearRemodAdd,0.7396697827235963
fe_NbhdMed_fe_TotalSF,0.7372207930180462
GarageFinish,0.7281012330771509
BsmtFinSF1,0.7214887186634261
LotArea_log1p_v2,0.7019610580815939
LotFrontage,0.6415458886459493
GarageCond,0.5957992652950423
Functional,0.5548567166694631
GarageArea,0.5544773571866282
YearBuilt,0.5211003571481765
GarageYrBlt,0.5074877905021643
OverallQual_relative_v2,0.494955181224509
fe_GarageGrade,0.4890955305527519
FireplaceQu,0.4879848808699543
Electrical,0.4791176532150981
BsmtFinType1,0.47493585819072215
TotalSF_relative_v2,0.4658090017285148
YearBuiltDecade_v2,0.45226222137398614
fe_TotalPorchSF,0.45056309282963014
Condition1,0.4260472327729522
fe_GarageCarsPer100SF,0.4236104907461962
fe_BasementGrade,0.40501587873117334
Exterior1st,0.38387002340903886
fe_AboveVsBasement,0.38060326991162063
WoodDeckSF,0.35612688016702787
BsmtExposure,0.345981244973643
fe_NbhdMed_LotArea,0.32017736837668703
MoSold,0.2702990993535604
MSSubClass,0.2681996894010654
HeatingQC,0.2668841327209605
PavedDrive,0.2579944701723851
OpenPorchSF,0.24341654961442202
fe_GarageAgeAtSale,0.2422671961312852
fe_NbhdMed_YearBuilt,0.23514854837667376
Foundation,0.23162276069875493
SaleType,0.2257243211142434
LotConfig,0.22121923733036994
fe_FirstVsSecond,0.2197594464577966
HouseStyle,0.21873733920415822
2ndFlrSF,0.21703152563039707
TotalBsmtSF,0.19638658015898222
BldgType,0.19585607776685154
MasVnrType,0.19372023419519857
MoSold_cos,0.19296885445220777
Neighborhood,0.191561391559814
YrSold,0.18941292248886912
is_luxury_v2,0.1885668680641537
Nbhd_Qual_cat_v2,0.18825378021723974
Exterior2nd,0.18461200242923126
ScreenPorch,0.18418567115338588
MasVnrArea,0.17942513166297008
RoofMatl,0.17061729118449626
Fence,0.167726917584362
TotRmsAbvGrd,0.1579445604212426
HalfBath,0.15749529053840422
LotShape,0.15454734395282055
comb_Season,0.1478552513117366
LandContour,0.14403954588154527
LandSlope,0.13444578107456678
MoSold_sin,0.12688981672890653
RoofStyle,0.1261234427485515
BsmtQual,0.12056672575065587
EnclosedPorch,0.11623863718825897
comb_ExteriorSet,0.11058516572895857
Alley,0.10482751347258824
Nbhd_Decade_cat_v2,0.10006834093316776
BsmtFinSF2,0.08719674260056913
ExterCond,0.07751186975764604
bin_HasPorch,0.0755280329063723
FullBath,0.06625197644436907
BsmtCond,0.06615903243124155
BedroomAbvGr,0.06160374473542761
is_luxury_nbhd_v2,0.05258385665277765
MiscFeature,0.04825372459289213
GarageQual,0.04296039187374244
PoolArea,0.040205971167008525
bin_HasFireplace,0.038977248359840753
Heating,0.0330147958688443
bin_HasDeck,0.030095542310793217
LowQualFinSF,0.028222526983115066
BsmtFinType2,0.026463996394914764
bin_NearArtery,0.01784794903514867
bin_NearRR,0.017731207163599626
3SsnPorch,0.015959636347304056
BsmtFullBath,0.01592672731557389
Condition2,0.010056948038932312
KitchenAbvGr,0.009927313795315836
MiscVal,0.00932113817722635
bin_NearPositive,0.008236825505668694
bin_HasPool,0.007569845522320834
PoolQC,0.006526107132818252
BsmtHalfBath,0.0035325969179551505
Utilities,0.001589145591978264
Street,9.24916284312932e-05
bin_Has2ndFlr,4.0614168434158246e-06
bin_HasBasement,0.0
bin_HasGarage,0.0
