feature,gain
int_OQual_x_TotalSF,3380.6274858145975
int_OQual_x_GrLiv,835.7131875577383
fe_TotalSF,276.1543266447261
fe_NbhdMed_fe_TotalSF,175.77963721398265
OverallQual,167.77775921989232
fe_OverallGrade,150.19416920589282
int_GarCars_x_GarArea,77.18385964659974
LotArea,72.71396642262116
fe_TotalBaths,72.43783687390388
CentralAir,65.51522839814425
BsmtFinSF1,64.45847119530663
OverallCond,57.59930682554841
fe_YearsSinceRemod,57.00891307834536
GrLivArea,48.32259603049606
fe_NbhdMed_LotArea,45.84527392592281
GarageArea,45.30653184233233
1stFlrSF,43.77530498895794
fe_NbhdMed_GrLivArea,42.14509326443076
YearRemodAdd,41.464696924760936
BsmtUnfSF,41.403237669635566
KitchenQual,37.992032973188905
fe_BasementGrade,36.30947101255879
fe_AgeAtSale,34.6583872422576
TotalBsmtSF,32.07263771751896
YearBuilt,31.992264842428266
int_TotalBaths_x_Beds,30.888518991228192
GarageYrBlt,30.17167446576059
Neighborhood,29.5130025354214
fe_NbhdMed_YearBuilt,24.596740543469785
fe_GarageCarsPer100SF,23.058713950961828
BsmtFinType1,22.859007746353747
fe_TotalPorchSF,21.9257228625007
GarageCars,21.13163802996278
LotFrontage,20.970924564171582
FireplaceQu,20.43876261673868
BsmtQual,18.46030425205827
fe_GarageGrade,16.749912036955358
fe_AboveVsBasement,14.516013805381954
GarageFinish,14.270935071818531
fe_GarageAgeAtSale,13.142063877731562
WoodDeckSF,12.993882834166289
Fireplaces,11.924581496883183
fe_KitchenGrade,11.50606738757342
fe_FirstVsSecond,11.38675071382895
OpenPorchSF,10.84070792477578
HeatingQC,10.757670750841498
Functional,10.509901720657945
2ndFlrSF,10.339009126834572
PavedDrive,10.14941737242043
BsmtExposure,8.631851434893907
MoSold_cos,8.60282165724784
ExterQual,7.6051816856488585
TotRmsAbvGrd,7.410333959758281
MasVnrArea,6.8611621520482
fe_ExteriorGrade,6.243865149840713
GarageCond,6.105421601608396
GarageQual,6.024662114307285
MoSold,5.932863591425121
MoSold_sin,5.201750944275409
LotShape,4.6238819944672285
BsmtFullBath,4.511940720770508
KitchenAbvGr,4.245564536191523
MSSubClass,4.070950359106064
EnclosedPorch,3.1366681859828534
Exterior1st,2.9833328410983087
HalfBath,2.6689343428239227
Electrical,2.519626628048718
bin_NearArtery,2.514824121352285
GarageType,2.341607998125255
ExterCond,2.239893115777522
BedroomAbvGr,2.127948136534542
FullBath,2.090612321346998
SaleCondition,2.0862655375152825
ScreenPorch,2.010491986665875
BsmtCond,1.2704485877417029
MSZoning,1.2358630945906044
bin_HasFireplace,1.111582118459046
LotConfig,1.0293986553326249
MasVnrType,0.8250404762104153
YrSold,0.8083757380954921
LandSlope,0.7550507493317127
bin_HasPorch,0.7272124473005533
comb_ExteriorSet,0.6788122862577438
bin_HasDeck,0.6538018986582756
BsmtFinSF2,0.54241182487458
bin_NearRR,0.5359084498137235
Exterior2nd,0.5054159617051482
BsmtFinType2,0.4162076859734952
RoofMatl,0.3229251617565751
Condition1,0.28104560151696206
Alley,0.22392045613378286
Foundation,0.21223777141422034
Fence,0.11311552934348583
Heating,0.1120132204145193
MiscFeature,0.10350944101810455
MiscVal,0.0986908471211791
HouseStyle,0.09039824027568102
BsmtHalfBath,0.034404880553483966
SaleType,0.02882386017590761
bin_Has2ndFlr,0.0245581123046577
RoofStyle,0.024265316128730775
bin_HasGarage,0.01914093941450119
comb_Season,0.01780966017395258
LowQualFinSF,0.009181619808077812
3SsnPorch,0.009007718041539192
bin_NearPositive,0.0034193960949778558
BldgType,0.0028606999665498735
Street,0.0
LandContour,0.0
PoolQC,0.0
bin_HasPool,0.0
bin_HasBasement,0.0
Condition2,0.0
Utilities,0.0
PoolArea,0.0
