feature,gain
LogTotalSF_x_NbhdPrem_v2,6231.375831178401
int_OQual_x_TotalSF,4066.9190497906297
Qual_x_NbhdPrem_v2,1217.026092153124
int_OQual_x_GrLiv,366.676485672954
fe_OverallGrade,238.79239808509593
fe_TotalSF,186.99747817666503
LotArea,126.76159515471663
fe_TotalBaths,115.29432025647256
OverallCond,109.82797866441543
CentralAir,104.12640240262263
fe_YearsSinceRemod,102.09036075712648
Nbhd_TgtMean_Log_v2,99.3955966645386
int_GarCars_x_GarArea,91.80493300362723
BsmtFinSF1,89.24695507258875
BsmtUnfSF,87.25702424987685
YearRemodAdd,84.31423663819442
GarageArea,71.04150911348407
KitchenQual,67.9549451176077
GrLivArea,61.82336356219603
1stFlrSF,61.00928541583708
fe_BasementGrade,53.71296499394812
GarageYrBlt,50.54853266802384
fe_GarageCarsPer100SF,49.769093229679854
TotalSF_relative_v2,45.98728942978196
fe_AgeAtSale,45.31999577350216
fe_TotalPorchSF,44.00720015935367
int_TotalBaths_x_Beds,43.74645257475786
YearBuilt,41.97902544775279
FireplaceQu,41.96171741613652
fe_GarageGrade,40.31181648862548
BsmtFinType1,36.148915755283085
BsmtQual,31.966145243332722
LotFrontage,31.62616921487497
TotalBsmtSF,31.23070352433715
Neighborhood,30.919341043988243
WoodDeckSF,30.382038362231107
fe_AboveVsBasement,29.581213205633684
fe_NbhdMed_LotArea,29.541683040512726
fe_NbhdMed_fe_TotalSF,27.15444173817523
fe_NbhdMed_YearBuilt,25.424979932792485
Fireplaces,24.673983548395334
OpenPorchSF,24.624276414245834
HeatingQC,22.838073276751675
fe_GarageAgeAtSale,22.24363851243397
GarageFinish,21.454312489379664
fe_FirstVsSecond,20.821108550962528
LotArea_log1p_v2,20.37997743751621
MoSold_cos,19.796949429786764
Functional,19.60511740306392
Nbhd_Qual_cat_v2,18.853348959237337
GarageQual,18.79719563946128
GarageCars,18.63255167622119
2ndFlrSF,16.461512120394037
MoSold,15.827608423214405
MasVnrArea,15.091242921422236
TotalSF,14.558849779842422
BsmtFinSF1_log1p_v2,14.498965590400621
fe_KitchenGrade,14.476061897678301
BsmtExposure,13.393882428086362
KitchenAbvGr,13.300616485066712
MoSold_sin,13.2578602733789
GarageCond,12.315021471772344
fe_NbhdMed_GrLivArea,12.012443016353064
GrLivArea_log1p_v2,11.737012693320867
MSSubClass,11.464727755496279
fe_ExteriorGrade,11.415235811495222
PavedDrive,11.325603049062192
HalfBath,10.38062205365859
Nbhd_Decade_cat_v2,10.088637329963968
OverallQual_relative_v2,9.110398734733462
Exterior1st,7.995353764481843
LotShape,7.703802693751641
TotRmsAbvGrd,7.244455794245004
OverallQual,6.161215283768252
BsmtFullBath,6.006200994434766
SaleCondition,5.818261022493243
bin_NearArtery,5.720354522019624
GarageType,5.42615488274023
EnclosedPorch,5.354004805232398
FullBath,4.791956528183073
ScreenPorch,4.302882504276932
MasVnrType,4.18690305526834
BedroomAbvGr,3.658209598599933
ExterCond,3.4567395905032754
Electrical,2.894720135163516
ExterQual,2.693463783618063
YrSold,2.50964983436279
LotConfig,2.3272735317703335
LandSlope,2.257681984361261
TotalSF_log1p_v2,2.1149228436872365
is_luxury_v2,1.8055635763565079
BsmtCond,1.7350330305285753
comb_ExteriorSet,1.686902886815369
MSZoning,1.5652835331857204
Exterior2nd,1.4836082546971738
YearBuiltDecade_v2,1.4510304878465832
BsmtFinSF2,1.3300396834965795
BsmtFinType2,0.9160025788936764
bin_HasFireplace,0.8425410904921591
bin_NearRR,0.8323277281597257
Condition1,0.8045102288015187
bin_HasPorch,0.7306710672564805
bin_HasDeck,0.6091170076280832
Foundation,0.4653887801337987
RoofMatl,0.46238161288201807
MiscVal,0.1983940745703876
HouseStyle,0.19750467902049423
Alley,0.08261775970458984
Fence,0.07371364636346697
SaleType,0.07084116917103529
BsmtHalfBath,0.053628883929923175
RoofStyle,0.052738163620233536
MiscFeature,0.04473415799438953
Heating,0.04239027164876461
comb_Season,0.0396759957075119
is_luxury_nbhd_v2,0.03112109936773777
BldgType,0.0211735000833869
NbhdCluster4_v2,0.013177966140210629
LowQualFinSF,0.009025267884135246
3SsnPorch,0.005644720047712326
bin_Has2ndFlr,0.004304520040750504
LandContour,0.0
Condition2,0.0
PoolArea,0.0
PoolQC,0.0
bin_NearPositive,0.0
bin_HasPool,0.0
bin_HasGarage,0.0
bin_HasBasement,0.0
Street,0.0
Utilities,0.0
