feature,gain
LogTotalSF_x_NbhdPrem_v2,2475.61114103524
int_OQual_x_TotalSF,1586.1999338535593
Qual_x_NbhdPrem_v2,578.8829105100594
int_OQual_x_GrLiv,268.9048740869388
fe_OverallGrade,136.79621247984468
fe_TotalSF,121.62222331138328
LotArea,57.821692598517984
fe_TotalBaths,55.31998033896089
OverallCond,53.62778648147359
fe_YearsSinceRemod,53.14000418772921
Nbhd_TgtMean_Log_v2,51.34275243282318
CentralAir,51.22253858186305
BsmtFinSF1,43.46336197005585
BsmtUnfSF,42.96574686635286
TotalSF,42.442178799957034
int_GarCars_x_GarArea,41.88370049512014
YearRemodAdd,39.864729643426834
1stFlrSF,35.68790000388399
GarageArea,34.13599562961608
KitchenQual,31.066594418790192
GrLivArea,31.029793119058013
fe_AgeAtSale,26.54088329905644
fe_BasementGrade,26.046359364409
YearBuilt,25.45407588686794
OverallQual,23.99935881625861
GarageYrBlt,23.453957496210933
fe_GarageCarsPer100SF,22.11773915970698
fe_TotalPorchSF,22.025837018340827
TotalSF_relative_v2,21.516510075703263
int_TotalBaths_x_Beds,21.469440289866178
fe_GarageGrade,19.593167217820884
FireplaceQu,17.54062146684155
BsmtFinType1,17.400893066171555
LotArea_log1p_v2,17.109822800196707
BsmtFinSF1_log1p_v2,16.7782733743079
LotFrontage,15.468315764982254
fe_NbhdMed_YearBuilt,15.075298134889454
TotalBsmtSF,14.52608845056966
fe_AboveVsBasement,13.818801258597523
BsmtQual,13.471899777185172
WoodDeckSF,12.766833766270429
Neighborhood,11.952438489720226
fe_NbhdMed_LotArea,11.883714198041707
OpenPorchSF,11.534932440519333
fe_GarageAgeAtSale,11.30327387228608
Fireplaces,11.01846863012761
GrLivArea_log1p_v2,10.91248461054638
fe_KitchenGrade,10.769542762171477
fe_NbhdMed_fe_TotalSF,10.556607175339014
HeatingQC,10.089330912940204
GarageQual,10.079001073073595
Functional,10.056222521793098
GarageCars,9.766567968577146
fe_FirstVsSecond,9.331647728197277
PavedDrive,9.10680173272267
GarageFinish,8.458955314662308
MoSold_cos,8.121103085763753
2ndFlrSF,8.072111079469323
BsmtExposure,7.807318829093129
Nbhd_Qual_cat_v2,7.376600777171552
KitchenAbvGr,7.16855479599908
MoSold,5.812814199272543
MasVnrArea,5.651378984097391
fe_NbhdMed_GrLivArea,5.574145920202136
fe_ExteriorGrade,5.393070201016963
MoSold_sin,5.291371802426875
TotRmsAbvGrd,5.2890372860245405
GarageCond,4.795255747251213
OverallQual_relative_v2,4.580296580027789
ExterQual,4.399131944030524
MSSubClass,4.172818171139807
TotalSF_log1p_v2,3.9379763774573804
Nbhd_Decade_cat_v2,3.6893841857090592
HalfBath,3.5121650983579458
bin_NearArtery,2.9528975347988307
EnclosedPorch,2.9126179860904813
Exterior1st,2.6781360999681056
SaleCondition,2.5787825618870555
BsmtFullBath,2.4275809665210546
LotShape,2.321124513633549
ScreenPorch,1.9426167870871722
bin_HasFireplace,1.91856817509979
FullBath,1.8375036612153053
ExterCond,1.7417206898331643
Electrical,1.6709625659510494
MasVnrType,1.6303680785000325
BedroomAbvGr,1.4476551098749042
GarageType,1.2223940255120396
YearBuiltDecade_v2,1.1433180294930936
LotConfig,1.0838728349655866
BsmtCond,0.9944655854254961
LandSlope,0.9343062588945031
is_luxury_v2,0.7743854232132434
YrSold,0.7574009733274579
bin_HasPorch,0.7485038237646222
comb_ExteriorSet,0.7366402090527118
Exterior2nd,0.5994749286212027
MSZoning,0.5323034688830376
BsmtFinSF2,0.5036556237377227
bin_NearRR,0.43203217824921014
BsmtFinType2,0.4094427593052387
bin_HasDeck,0.34380985256284474
Foundation,0.328223526570946
RoofMatl,0.2994291911832988
is_luxury_nbhd_v2,0.26095457896590235
Condition1,0.20547760324552655
Alley,0.1167557026259601
MiscVal,0.06973731927573681
RoofStyle,0.05330919800326228
Fence,0.04489642009139061
HouseStyle,0.043502519652247426
NbhdCluster4_v2,0.033356600999832155
MiscFeature,0.02616044357419014
BldgType,0.025534579902887343
comb_Season,0.018450265750288963
SaleType,0.0125810282304883
LowQualFinSF,0.011150877922773361
Heating,0.005309979990124702
bin_NearPositive,0.0021664200350642203
PoolArea,0.0
Street,0.0
bin_Has2ndFlr,0.0
3SsnPorch,0.0
bin_HasBasement,0.0
bin_HasPool,0.0
bin_HasGarage,0.0
BsmtHalfBath,0.0
Condition2,0.0
PoolQC,0.0
LandContour,0.0
Utilities,0.0
