feature,weight
Nbhd_Qual_cat_v2,928.0
LotArea,891.8
BsmtUnfSF,890.8
Nbhd_Decade_cat_v2,750.4
fe_GarageCarsPer100SF,642.0
fe_TotalPorchSF,592.2
LotFrontage,579.8
fe_AboveVsBasement,567.6
GarageArea,566.8
TotalSF_relative_v2,550.4
BsmtFinSF1,537.0
1stFlrSF,489.6
GrLivArea,478.8
LogTotalSF_x_NbhdPrem_v2,464.0
WoodDeckSF,450.8
TotalBsmtSF,437.2
int_OQual_x_TotalSF,432.8
OpenPorchSF,420.4
MasVnrArea,416.8
MoSold,416.0
YearRemodAdd,409.6
Nbhd_TgtMean_Log_v2,407.2
int_OQual_x_GrLiv,403.2
YrSold,401.0
MoSold_cos,384.0
fe_TotalSF,372.6
Qual_x_NbhdPrem_v2,354.4
YearBuilt,353.2
MoSold_sin,334.8
fe_FirstVsSecond,333.8
fe_YearsSinceRemod,323.0
GarageYrBlt,299.6
SaleCondition,291.4
fe_GarageAgeAtSale,286.2
int_GarCars_x_GarArea,272.8
OverallCond,268.8
fe_OverallGrade,250.2
int_TotalBaths_x_Beds,245.4
GarageFinish,244.6
fe_AgeAtSale,241.4
BsmtFinType1,235.6
fe_BasementGrade,216.6
2ndFlrSF,206.6
fe_TotalBaths,201.2
Exterior1st,197.2
LotArea_log1p_v2,192.8
TotRmsAbvGrd,191.8
BsmtExposure,163.8
LotConfig,152.8
GarageType,152.4
Fence,152.2
HeatingQC,134.0
LotShape,130.4
MSSubClass,128.8
EnclosedPorch,123.6
FireplaceQu,119.2
Exterior2nd,117.0
MSZoning,115.2
BsmtFinSF1_log1p_v2,114.0
MasVnrType,111.8
Fireplaces,109.6
fe_NbhdMed_LotArea,105.6
OverallQual_relative_v2,104.6
SaleType,98.4
fe_NbhdMed_GrLivArea,92.6
comb_ExteriorSet,88.6
fe_NbhdMed_YearBuilt,86.8
GrLivArea_log1p_v2,86.0
BedroomAbvGr,82.6
KitchenQual,79.8
TotalSF,79.6
Condition1,75.4
Functional,74.8
ExterCond,67.6
RoofStyle,65.6
fe_ExteriorGrade,65.4
BldgType,64.0
Neighborhood,62.4
fe_NbhdMed_fe_TotalSF,58.6
Foundation,58.0
HouseStyle,57.0
BsmtFullBath,55.4
comb_Season,55.0
BsmtFinSF2,54.2
BsmtQual,49.0
HalfBath,48.0
FullBath,46.8
BsmtFinType2,42.6
NbhdCluster4_v2,41.4
LandContour,41.4
OverallQual,41.0
Electrical,36.2
ScreenPorch,32.4
ExterQual,32.0
CentralAir,30.8
GarageCars,29.4
BsmtCond,26.8
PavedDrive,24.2
bin_HasPorch,17.0
bin_NearRR,16.4
bin_HasDeck,16.4
RoofMatl,15.6
fe_KitchenGrade,15.4
GarageQual,15.2
LandSlope,13.2
bin_NearArtery,13.0
fe_GarageGrade,12.8
BsmtHalfBath,12.4
KitchenAbvGr,11.0
PoolArea,10.666666666666666
Alley,9.4
LowQualFinSF,8.5
MiscVal,7.4
TotalSF_log1p_v2,7.2
GarageCond,6.6
MiscFeature,6.25
bin_HasFireplace,6.0
PoolQC,5.0
bin_NearPositive,4.5
YearBuiltDecade_v2,4.4
Heating,4.0
is_luxury_v2,3.4
Condition2,2.6666666666666665
3SsnPorch,1.75
is_luxury_nbhd_v2,1.3333333333333333
bin_Has2ndFlr,1.0
