feature,gain
LogTotalSF_x_NbhdPrem_v2,4.7183633804321286
int_OQual_x_TotalSF,3.281650495529175
Qual_x_NbhdPrem_v2,1.9487629890441895
int_OQual_x_GrLiv,1.4717042446136475
TotalSF_log1p_v2,1.2109766483306885
OverallQual,1.0840675234794617
TotalSF,1.0429543256759644
ExterQual,1.0395320415496827
CentralAir,0.7692042529582978
fe_TotalSF,0.7527664542198181
fe_OverallGrade,0.7412110209465027
is_luxury_v2,0.6230021446943284
fe_KitchenGrade,0.5116420567035675
fe_GarageGrade,0.43834410309791566
GarageCars,0.4275875151157379
KitchenQual,0.4154104709625244
GarageCond,0.40167787969112395
fe_NbhdMed_fe_TotalSF,0.38757637739181516
GarageQual,0.3822326630353928
fe_TotalBaths,0.2959415078163147
KitchenAbvGr,0.23425622284412384
GarageFinish,0.22787196636199952
bin_HasFireplace,0.22011125087738037
Nbhd_TgtMean_Log_v2,0.2186342179775238
int_GarCars_x_GarArea,0.21689622700214387
BsmtQual,0.21081706881523132
FireplaceQu,0.18114824295043946
fe_YearsSinceRemod,0.17177357375621796
fe_BasementGrade,0.16376063525676726
int_TotalBaths_x_Beds,0.1487274080514908
bin_HasGarage,0.1475848164409399
BsmtFinSF1_log1p_v2,0.14735233783721924
Fireplaces,0.13665395230054855
BsmtFinSF1,0.1286770910024643
OverallCond,0.12701824307441711
YearRemodAdd,0.12437010109424591
fe_NbhdMed_LotArea,0.12083420902490616
MSZoning,0.11561477482318878
fe_ExteriorGrade,0.11341495960950851
PavedDrive,0.11005290150642395
GrLivArea_log1p_v2,0.10147530883550644
YearBuiltDecade_v2,0.10134036540985107
ExterCond,0.09188822694122792
SaleCondition,0.09185154289007187
BsmtFinType1,0.08891030848026275
HeatingQC,0.08780307322740555
fe_NbhdMed_YearBuilt,0.08740608096122741
LotArea_log1p_v2,0.08606716394424438
GrLivArea,0.08574782460927963
GarageArea,0.08526257276535035
fe_AgeAtSale,0.08486919924616813
GarageYrBlt,0.08335981816053391
1stFlrSF,0.08065266087651253
GarageType,0.07652905881404877
BsmtFullBath,0.07445884868502617
is_luxury_nbhd_v2,0.07248789817094803
Functional,0.07196620851755142
BsmtExposure,0.07121886909008027
fe_NbhdMed_GrLivArea,0.06961337998509406
BldgType,0.06710147708654404
YearBuilt,0.06131916344165802
LotArea,0.058442942798137665
BsmtUnfSF,0.057404819130897525
Fence,0.05594365894794464
2ndFlrSF,0.054721666127443315
FullBath,0.05300790518522262
bin_HasPool,0.05030446238815785
TotalSF_relative_v2,0.05004530847072601
TotRmsAbvGrd,0.048529011011123654
PoolArea,0.0484822197817266
SaleType,0.047902874648571014
HalfBath,0.0456620916724205
ScreenPorch,0.04430643320083618
fe_TotalPorchSF,0.043984710425138476
TotalBsmtSF,0.04396384432911873
bin_NearArtery,0.042883827537298205
OpenPorchSF,0.04277966544032097
EnclosedPorch,0.042663377895951274
bin_HasPorch,0.04199412129819393
Heating,0.04107634462416172
bin_Has2ndFlr,0.04017442520707846
LandSlope,0.040116403624415396
fe_FirstVsSecond,0.040102049708366394
Exterior1st,0.0392161138355732
WoodDeckSF,0.03795066550374031
RoofStyle,0.037839222326874734
PoolQC,0.03745143637061119
OverallQual_relative_v2,0.03742821551859379
Electrical,0.03718681745231152
RoofMatl,0.03679049052298069
BsmtCond,0.03654351457953453
NbhdCluster4_v2,0.03547603227198124
Neighborhood,0.035449665412306784
Nbhd_Qual_cat_v2,0.03466804064810276
fe_GarageAgeAtSale,0.03400975093245506
fe_GarageCarsPer100SF,0.03369670957326889
Condition1,0.03315124996006489
BedroomAbvGr,0.03252433389425278
comb_ExteriorSet,0.03149343356490135
fe_AboveVsBasement,0.030402180552482606
MoSold,0.03037564754486084
MoSold_cos,0.029341093823313714
Exterior2nd,0.029131415858864786
BsmtFinType2,0.02904040049761534
Alley,0.027351027727127074
BsmtFinSF2,0.027106772363185882
LandContour,0.026599185541272163
Foundation,0.02625465616583824
MSSubClass,0.025778913497924806
BsmtHalfBath,0.025309083238244056
Nbhd_Decade_cat_v2,0.024958082661032676
LotShape,0.024918553233146668
LowQualFinSF,0.024792896583676338
LotFrontage,0.02472987473011017
MoSold_sin,0.024375103041529657
bin_HasDeck,0.023895139619708062
comb_Season,0.022892409935593605
YrSold,0.020765453577041626
MiscVal,0.02073326352983713
MasVnrType,0.020656024850904942
HouseStyle,0.020100390538573265
bin_NearPositive,0.01968946624547243
Utilities,0.019026151159778237
Condition2,0.018839620985090733
MiscFeature,0.01866682693362236
MasVnrArea,0.018648526072502135
bin_NearRR,0.01827166210860014
3SsnPorch,0.01820311862975359
Street,0.01811680062673986
LotConfig,0.01811312846839428
