feature,weight
LotArea,4318.6
Nbhd_Decade_cat_v2,3970.8
LotFrontage,3163.2
BsmtUnfSF,2990.4
Nbhd_Qual_cat_v2,2614.4
MSSubClass,2497.8
int_OQual_x_TotalSF,2425.0
OverallCond,2325.6
LogTotalSF_x_NbhdPrem_v2,2194.2
YearBuilt,2032.2
Neighborhood,2015.2
Qual_x_NbhdPrem_v2,2001.0
GarageArea,2000.8
int_OQual_x_GrLiv,1893.4
SaleCondition,1851.4
1stFlrSF,1816.2
YearRemodAdd,1735.2
Nbhd_TgtMean_Log_v2,1720.2
GrLivArea,1679.0
fe_YearsSinceRemod,1666.4
fe_TotalPorchSF,1647.2
Exterior1st,1624.4
LotArea_log1p_v2,1614.8
BsmtFinSF1,1611.2
fe_AboveVsBasement,1561.0
MoSold,1537.4
fe_GarageCarsPer100SF,1496.0
MSZoning,1435.4
int_GarCars_x_GarArea,1430.0
GarageYrBlt,1391.4
fe_AgeAtSale,1354.8
Condition1,1309.2
WoodDeckSF,1301.6
TotalBsmtSF,1298.8
fe_TotalBaths,1291.4
LotConfig,1256.2
fe_TotalSF,1205.2
fe_OverallGrade,1145.2
TotalSF_relative_v2,1105.2
Functional,1057.4
comb_ExteriorSet,1043.2
MasVnrArea,977.4
fe_FirstVsSecond,963.2
fe_GarageAgeAtSale,913.4
fe_BasementGrade,878.2
BsmtFinSF1_log1p_v2,853.6
Exterior2nd,848.4
OpenPorchSF,846.8
int_TotalBaths_x_Beds,845.6
BsmtFinType1,815.8
MoSold_cos,801.2
YrSold,790.8
GrLivArea_log1p_v2,788.4
2ndFlrSF,734.2
TotalSF,691.6
EnclosedPorch,681.4
GarageType,679.2
MoSold_sin,656.0
fe_NbhdMed_YearBuilt,651.6
HouseStyle,634.0
OverallQual,624.6
fe_NbhdMed_LotArea,611.8
BsmtExposure,606.0
LotShape,604.6
SaleType,564.0
FireplaceQu,554.4
LandContour,538.2
GarageFinish,530.6
HeatingQC,525.0
OverallQual_relative_v2,507.8
KitchenQual,504.0
Fireplaces,469.8
ScreenPorch,464.2
TotRmsAbvGrd,448.6
fe_NbhdMed_fe_TotalSF,414.6
Fence,408.8
BedroomAbvGr,407.6
fe_NbhdMed_GrLivArea,401.4
RoofStyle,395.0
TotalSF_log1p_v2,390.4
BsmtQual,385.6
Foundation,365.4
CentralAir,358.6
BldgType,350.0
MasVnrType,348.8
comb_Season,288.2
ExterCond,282.0
fe_KitchenGrade,274.6
Alley,266.6
LandSlope,250.0
GarageCars,244.2
BsmtFinSF2,243.0
Electrical,239.2
BsmtFullBath,234.0
bin_NearArtery,229.4
PavedDrive,223.6
fe_ExteriorGrade,215.2
BsmtFinType2,212.4
BsmtCond,206.4
KitchenAbvGr,198.6
fe_GarageGrade,193.4
GarageQual,181.6
3SsnPorch,173.6
HalfBath,171.8
FullBath,155.8
YearBuiltDecade_v2,146.0
RoofMatl,142.6
LowQualFinSF,132.8
ExterQual,114.4
PoolArea,104.8
NbhdCluster4_v2,104.2
bin_NearRR,98.0
bin_HasFireplace,91.2
MiscVal,88.0
bin_HasPorch,82.2
Condition2,81.8
GarageCond,78.0
PoolQC,77.2
bin_HasDeck,65.2
BsmtHalfBath,64.0
MiscFeature,45.6
Heating,38.2
bin_NearPositive,32.4
Street,25.2
is_luxury_v2,23.8
Utilities,19.75
bin_HasPool,13.2
bin_Has2ndFlr,8.0
is_luxury_nbhd_v2,7.8
bin_HasGarage,2.0
